189.84,150.8,119.78,95.15,75.58,60.03,47.69,37.88,30.09,23.9,18.98,15.23,13,11.61,10.62,9.8,9.08,8.47,7.87,7.36,6.88,6.48,6.08,5.7,5.36,5.09,4.77,4.52,4.29,4.03,3.79,3.55,3.35,3.16,3,2.82,2.67,2.51,2.37,2.23,2.09,1.99,1.88,1.75,1.64,1.53,1.43,1.32,1.22,1.13,1.03,0.93,0.84,0.77,0.71,0.66,0.6,0.54,0.48,0.44,0.4,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.84,1.28,0.99,0.8,0.57,0.36,0.19,0.08,-0.03,-0.12,-0.17,-0.23,-0.27,-0.32,-0.35,-0.39,-0.43,-0.41,-0.45,-0.44,-0.45,-0.45,-0.47,-0.46,-0.45,-0.44,-0.39,-0.38,-0.37,-0.35,-0.35,-0.33,-0.3,-0.29,-0.27,-0.24,-0.21,-0.19,-0.17,-0.15,-0.13,-0.11,-0.1,-0.09,-0.08,-0.07,-0.07,-0.07,-0.05,-0.05,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.96,0.95,0.94,0.93,0.91,0.9,0.89,0.88,0.87,0.85,0.84,0.83,0.82,0.8,0.79,0.78,0.76,0.75,0.74,0.72,0.7,0.68,0.67,0.66,0.64,0.61,0.59,0.57,0.54,0.52,0.49,0.47,0.44,0.42,0.39,0.37,0.35,0.34,0.32,0.3,0.29,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.07,0.11,0.14,0.18,0.22,0.25,0.28,0.32,0.35,0.38,0.41,0.44,0.45,0.48,0.5,0.52,0.54,0.56,0.58,0.59,0.61,0.63,0.65,0.66,0.68,0.7,0.71,0.73,0.74,0.75,0.77,0.79,0.81,0.82,0.84,0.86,0.87,0.88,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.81,-2.84,-2.77,-2.57,-2.24,-1.95,-1.68,-1.42,-1.28,-0.98,-0.76,-0.77,-0.56,-0.3,-0.21,-0.27,-0.01,0.14,0.46,0.45,0.5,0.59,0.54,0.59,0.64,0.66,0.51,0.48,0.39,0.37,0.27,0.2,0.16,0.12,0.05,0.03,0.01,-0.04,-0.09,-0.18,-0.26,-0.28,-0.21,-0.17,-0.13,-0.14,-0.14,-0.16,-0.15,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,4.35,5.57,6.3,6.83,7.35,7.76,7.96,7.93,7.83,7.61,7.34,7.03,6.56,6.14,5.94,5.51,4.98,4.59,4.33,3.69,3.24,2.62,2.31,1.91,1.42,1.1,0.69,0.15,-0.24,-0.52,-0.74,-1.01,-1.49,-1.87,-2.3,-2.76,-3.2,-3.57,-4,-4.36,-4.71,-5.05,-5.31,-5.52,-5.76,-6,-6.22,-6.42,-6.59,-6.7,-6.74,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78,-6.78
-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.57,-2.2,-1.64,-1.21,-0.61,0.14,0.95,1.9,2.74,3.57,4.23,4.86,5.53,6.09,6.34,6.78,7.22,7.43,7.65,7.93,8.11,8.32,8.43,8.51,8.58,8.6,8.54,8.54,8.52,8.47,8.44,8.37,8.25,8.15,8,7.8,7.59,7.39,7.13,6.88,6.61,6.33,6.1,5.9,5.65,5.38,5.11,4.84,4.6,4.43,4.36,4.29,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,0.71,0.37,0.12,-0.13,-0.42,-0.62,-0.76,-0.69,-0.78,-0.81,-0.98,-0.96,-0.97,-0.99,-0.99,-1.07,-1.08,-1.24,-1.2,-1.17,-1.15,-1.18,-1.13,-1.08,-0.98,-0.9,-0.84,-0.76,-0.89,-0.86,-0.84,-0.82,-0.74,-0.68,-0.68,-0.71,-0.76,-0.79,-0.8,-0.74,-0.62,-0.55,-0.49,-0.46,-0.44,-0.38,-0.32,-0.28,-0.27,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
