286.63,227.68,180.85,143.66,114.11,90.64,72,57.19,45.43,36.08,28.66,22.77,18.09,14.37,11.43,9.49,8.36,7.53,6.89,6.36,5.91,5.51,5.16,4.84,4.54,4.25,4,3.77,3.56,3.36,3.15,2.97,2.82,2.65,2.5,2.34,2.19,2.05,1.92,1.8,1.68,1.56,1.45,1.34,1.25,1.16,1.06,0.98,0.91,0.83,0.75,0.69,0.63,0.57,0.52,0.48,0.45,0.4,0.37,0.33,0.3,0.27,0.24,0.22,0.2,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1.95,0.97,0.63,0.46,0.27,0.19,0.13,0.07,-0.01,-0.1,-0.16,-0.22,-0.26,-0.3,-0.35,-0.37,-0.4,-0.43,-0.42,-0.43,-0.42,-0.43,-0.44,-0.44,-0.44,-0.45,-0.44,-0.42,-0.42,-0.42,-0.41,-0.39,-0.37,-0.36,-0.36,-0.33,-0.3,-0.27,-0.26,-0.24,-0.24,-0.23,-0.21,-0.19,-0.17,-0.15,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.11,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,0.98,0.97,0.96,0.95,0.94,0.93,0.91,0.9,0.89,0.87,0.86,0.84,0.83,0.82,0.8,0.78,0.77,0.75,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.55,0.54,0.52,0.49,0.47,0.45,0.43,0.41,0.39,0.37,0.35,0.33,0.31,0.29,0.28,0.26,0.25,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0.02,0.06,0.1,0.14,0.18,0.22,0.25,0.29,0.32,0.35,0.38,0.41,0.44,0.46,0.49,0.51,0.53,0.55,0.58,0.6,0.62,0.64,0.67,0.69,0.71,0.73,0.75,0.77,0.78,0.8,0.82,0.83,0.84,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54,-5.54
-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.21,-0.02,0.17,0.16,0.09,0.05,0.02,-0.13,-0.12,-0.05,0.04,-0.04,-0.09,-0.12,-0.15,0.02,0.13,0.24,0.13,0.3,0.3,0.34,0.41,0.38,0.36,0.41,0.51,0.61,0.67,0.76,0.84,0.92,0.99,1.01,1.02,1.01,1,0.96,0.93,0.82,0.74,0.69,0.65,0.57,0.52,0.49,0.44,0.36,0.31,0.29,0.3,0.33,0.35,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.65,3.65,4.25,4.56,4.81,4.75,4.7,4.65,4.64,4.6,4.61,4.44,4.23,3.95,3.83,3.64,3.44,3.23,2.82,2.43,2.02,1.79,1.33,0.98,0.58,0.19,-0.13,-0.47,-0.85,-1.26,-1.66,-2.05,-2.44,-2.74,-3.03,-3.36,-3.66,-3.89,-4.08,-4.24,-4.38,-4.51,-4.57,-4.68,-4.78,-4.87,-4.93,-4.98,-5.02,-5.05,-5.07,-5.08,-5.11,-5.14,-5.15,-5.16,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18
-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,0.07,0.45,0.79,1.44,2.05,2.42,2.74,3.08,3.41,3.62,3.96,4.3,4.63,4.84,5.02,5.22,5.4,5.58,5.76,5.89,5.97,6.08,6.13,6.16,6.17,6.15,6.09,6.02,5.93,5.8,5.63,5.43,5.26,5.08,4.83,4.55,4.32,4.1,3.91,3.73,3.54,3.42,3.23,3.02,2.84,2.7,2.59,2.51,2.44,2.38,2.34,2.27,2.21,2.18,2.15,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,3.37,3.32,3.18,2.68,2.1,1.85,1.63,1.3,1.04,0.89,0.68,0.6,0.37,0.34,0.26,0.23,0.12,0.13,0.05,-0.02,-0.02,-0.1,-0.1,-0.17,-0.23,-0.22,-0.3,-0.28,-0.23,-0.35,-0.4,-0.44,-0.42,-0.34,-0.33,-0.33,-0.36,-0.34,-0.33,-0.32,-0.31,-0.27,-0.23,-0.22,-0.19,-0.18,-0.21,-0.21,-0.2,-0.19,-0.17,-0.16,-0.16,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
